CodFiscalClient,NrFactura,Libraria,DataFactura,Valoare Marfuri,ValTVAMarfa,Valoare Produse,ValTVAProduse,BAZA,TOTALTVA,TOTAL,Denumire
33138388,20220894,,5/10/2022,1111,211.09,0,0,1111,211.09,1322.09,Lily Art Things srl
361307,20220895,71,5/10/2022,887.5,168.62,0,0,887.5,168.62,1056.12,COMPANIA DE LIBRARII S.A.
361307,20220896,70,5/10/2022,0,0,-92.9,-17.65,-92.9,-17.65,-110.55,COMPANIA DE LIBRARII S.A.
361307,20220897,12,5/10/2022,887.5,168.62,228.6,43.43,1116.1,212.05,1328.15,COMPANIA DE LIBRARII S.A.
361307,20220898,12,5/10/2022,-88.71,-16.85,0,0,-88.71,-16.85,-105.56,COMPANIA DE LIBRARII S.A.
361307,20220899,137,5/10/2022,443.75,84.31,550,104.5,993.75,188.81,1182.56,COMPANIA DE LIBRARII S.A.
361307,20220900,11,5/10/2022,62,11.78,504,95.76,566,107.54,673.54,COMPANIA DE LIBRARII S.A.
32642106,20220901,Event,5/10/2022,2220,421.8,0,0,2220,421.8,2641.8,HIGH END RESTAURANT SOLUTIONS SRL - IN INSOLVENTA
32642106,20220902,DiMora,5/10/2022,0,0,280,53.2,280,53.2,333.2,HIGH END RESTAURANT SOLUTIONS SRL - IN INSOLVENTA
20752873,20220903,Lightyear,5/10/2022,3557,675.83,0,0,3557,675.83,4232.83,Forum Film Romania SRL
32642106,20220904,Loft,5/10/2022,127.5,24.22,0,0,127.5,24.22,151.72,HIGH END RESTAURANT SOLUTIONS SRL - IN INSOLVENTA
361307,20220905,10,5/10/2022,0,0,31.3,5.95,31.3,5.95,37.25,COMPANIA DE LIBRARII S.A.
361307,20220906,96,5/11/2022,410.8,78.05,198,37.62,608.8,115.67,724.47,COMPANIA DE LIBRARII S.A.
32468299,20220907,,5/11/2022,0,0,240,45.6,240,45.6,285.6,MURAD BRAND SRL
24048685,20220908,,5/11/2022,0,0,165,31.35,165,31.35,196.35,Trima-Birotica&Papetarie S.R.L.
361307,20220909,90,5/11/2022,915.5,173.94,686.9,130.51,1602.4,304.45,1906.85,COMPANIA DE LIBRARII S.A.
